Chinese Name,English Name
[Sec]C毁灭守卫,[Sec]Doom Guard
[Sec]B半人马刺客,[Sec]Centaur Assassin
[Sec]B半人马巫师,[Sec]Centaur Sorcerer
[Sec]A女妖精,[Sec]Banshee Fairy
[Sec]C苦难女王,[Sec]Queen of Suffering
[Sec]C黑魔高级牧师,[Sec]C Dark Wizard Priest
[Sec]B黑魔猎手,[Sec]B Dark Ranger
[Sec]B黑魔首领,[Sec]B Dark Wizard Leader
[Sec]C血恶魔,[Sec]Bloodfiend C
[Sec]C无名骗士,[Sec]C Nameless Trickster
[Sec]C领主,[Sec]C Lord
[Sec]A熊怪乌萨战士,[Sec]A Ursoc Warrior
[Sec]A熊怪追踪者,[Sec]A Furbolg Tracker
[Sec]A熊怪萨满长者,[Sec]A Furbolg Elder Shaman
[Sec]A熊怪,[Sec]A Furbolg
[Sec]A熊猫,[Sec]Pandaren Brewmaster
[Sec]B豺狼偷猎者,[Sec]B Gnoll Poacher
[Sec]A豺狼,[Sec]Gnoll Raider
[Sec]B豺狼刺客,[Sec]Gnoll Assassin
[Sec]C豺狼首领,[Sec]Gnoll Chieftain
[Sec]A豺狼守望者,[Sec]A Gnoll Warden
[Sec]B欺骗者,[Sec]B Deceiver
[Sec]C女妖风暴巫师,[Sec]Banshee Tempest Sorceress
[Sec]C女妖女皇,[Sec]Banshee Queen
[Sec]A狗头人首领,[Sec]Gnoll Chieftain
[Sec]A两栖追随者,[Sec]Amphibious Stalker
[Sec]A两栖夜行者,[Sec]Amphibious Nightcrawler
[Sec]B穆格尔猎人,[Sec]B Mogul Hunter
[Sec]C食人鬼首领,[Sec]C Ghoul Lord
[Sec]A食人鬼拳手,[Sec]A Ghoul Brawler
[Sec]A食人鬼战士,[Sec]A Ghoul Warrior
[Sec]C食人鬼魔法师,[Sec]C Ghoul Sorceress
[Sec]B死亡幽魂,[Sec]B Shade of Death
[Sec]C冰之幽魂,[Sec]C Ice Wraith
[Sec]C尖毛兽酋长,[Sec]Quilbeast Chieftain
[Sec]A豪猪,[Sec]A Boar
[Sec]B血浴之母,[Sec]Bloodbath Matron
[Sec]B巨型蜘蛛,[Sec]B Giant Spider
[Sec]B兽族战士骷髅,[Sec]B Orc Warrior Skeleton
[Sec]B毒液蜘蛛,[Sec]Venom Spider B
[Sec]C图斯卡尔男巫,[Sec]Tuskar Witch Doctor
[Sec]B小型虚无行者,[Sec]Lesser Voidwalker
[Sec]A达拉内尔守卫,[Sec]Dalaran Guard
[Sec]C达拉然之孤胆怪物,[Sec]Dalaran Lone Monster
[Sec]B达拉内尔先知,[Sec]Prophet Velen
[力]圣骑士,[Guardian]Holy Knight
[魔]风系魔法师,[Mage]Wind Sorceress
[A]魔族巡逻兵,[A]Demon Patrol
[S]魔族侦察兵,[S]Fel Scout
[B]魔族随军法师,[B]Demon Adjutant Sorceress
[D]魔族强攻营,[D]Demonic Assault Camp
[B]魔族抢掠者,[B]Fel Raider
[B]魔族前锋营,[B]Demon Vanguard Camp
[技-风10]沙漠风暴-模型,[Skill-Wind10] Desert Storm
[C]魔族正规军,[C]Demon Regular Army
[力]矮人王,[Guardian] Dwarf King
[魔]光系魔法师,[Mage]Light Sorceress
[魔]土系魔法师,[Mage]Earth Sorceress
[魔]水系魔法师,[Mage]Water Sorceress
[弓]魔战士,[Archer] Spell Warrior
[弓]自然精灵,[Archer] Nature Sprite
[敏]光明骑士,[Warrior]Sword Knight
[力]剑手,[Guardian]Swordsman
[敏]狂战士-塔鲁族,[Warrior] Berserker - Taru Tribe
[弓]暗影猎手,[Archer] Shadow Hunter
[力]牛头人,[Guardian] Tauren
[敏]狂战士-库鲁族,[Warrior] Berserker - Kul Tiras
[敏]狂战士-那鲁族,[Warrior] Berserker - Naaru Clan
[力]野蛮人,[Guardian] Barbarian
[敏]守望者,[Warrior] Warden
[敏]恶魔猎手,[Warrior] Demon Hunter
[弓]黑暗精灵,[Archer] Dark Elf
[魔]火系魔法师,[Mage]Fire Sorceress
[暗箭3]骷髅魔法师,[Demon]Skeleton Fire Sorceress
[暗箭1]骷髅战士,[Demon]Skeleton Warrior
[暗箭5]兽王骷髅,[Demon]Beastmaster Skeleton
[暗箭4]兽族骷髅,[Demon]Orc Skeleton
[暗箭2]骷髅弓箭手,[Demon]Skeleton Archer
[魔]暗系魔法师,[Demon]Dark Sorceress
[技能配件]水神套装,[Artifact Component] Poseidon Set
[神器秘技]神罚-龙卷风暴,[Artifact Mastery] Divine Retribution - Tornado Storm
[仙器秘技]灵木法杖未使用,[Artifact Spell] Unused Spiritwood Staff
[神器秘技]天魔噬魂,[Artifact Mastery] Demon Soul Devourer
[HP]炎魔,[HP]Infernal
[HP]火焰精灵,[HP]Flame Sprite
[HB]熔岩火龟,[HB]Lava Turtle
[HB]火蜥,[HB]Fire Salamander
[HP]幼火蜥,[HP]Young Fire Lizard
[HP]耐瑟龙,[HP]Nether Dragon
[HB]火龙,[HB]Fire Dragon
[SB]玛格娜托破坏者,[SB]Magnataur Destroyer
